순번,자치구,X좌표,Y좌표,주소
153,강남구,204439.223942092,541848.72355709,강남구 포이동 271-5 도
154,강남구,204275.882834967,541961.373020269,강남구 포이동 220-11 도
155,강남구,204275.882834967,541961.373020269,강남구 포이동 220-11 도
156,강남구,201674.385541796,546619.1608166,강남구 신사동 667-6 도
157,강남구,201654.107636129,546735.125999674,강남구 신사동 394 도
158,강남구,205095.426376454,544822.000739124,강남구 대치동 903-17 도
159,강남구,204480.3481921,544645.494327824,강남구 대치동 898-12 대
160,강남구,204435.604050428,544766.039675519,강남구 대치동 897-3 대
161,강남구,207723.810106286,542917.205145089,강남구 수서동 50 대
162,강남구,207637.380703386,542807.660353037,강남구 일원동 716-4 도
163,강남구,206176.086036332,543384.565676716,강남구 개포동 195 도
164,강남구,203922.157835329,543708.841642532,강남구 도곡동 779-10 대
165,강남구,205797.997518482,545955.817794562,강남구 삼성동 172-24 도
166,강남구,203624.720719078,543641.122109008,강남구 도곡동 807-15 도
167,강남구,203673.029730446,543341.145724547,강남구 도곡동 543-4 대
168,강남구,205011.323711573,547037.29424155,강남구 청담동 340천
169,강남구,205024.361337216,547034.853713613,강남구 청담동 340천
170,강남구,205043.074651582,546990.879646909,강남구 청담동 139-31 도
171,강남구,205016.792973449,547052.14617926,강남구 청담동 340천
172,강남구,204962.657043205,547176.152844102,강남구 청담동 139-31 도
173,강남구,204982.53264517,547198.734633393,강남구 청담동 134-9 대
174,강남구,205028.59163602,547046.867651919,강남구 청담동 340천
175,강남구,202505.125128339,547127.672743257,강남구 신사동 610-3 대
176,강남구,207198.169294608,542872.067283874,강남구 일원동 714 학
177,강남구,207275.632968306,542873.509713724,강남구 일원동 714-2 도
178,강남구,205119.272045879,545005.113835731,강남구 대치동 943-1 대
179,강남구,205051.784279064,546680.483475434,강남구 삼성동 134-20 대
180,강남구,203260.470997031,546979.457328767,강남구 논현동 279-1 도
181,강남구,203308.310321698,546998.093617408,강남구 논현동 655-2 대
182,강남구,205629.815303596,545482.294115872,강남구 대치동 167 대
183,강남구,202927.244969126,544465.219719173,강남구 역삼동 639-13 대
184,강남구,205565.654100527,545511.547487125,강남구 삼성동 167 대
185,강남구,204417.076514347,543197.805229846,강남구 도곡동 산24-1 임
186,강남구,205583.507285889,545528.783506954,강남구 삼성동 167 대
187,강남구,205473.253196788,545779.177967564,강남구 삼성동 161-2 대
188,강남구,204872.651083518,543482.876568805,강남구 도곡동 670 대
189,강남구,204481.302894941,542219.681530454,강남구 포이동 654 대
190,강남구,210107.364549036,542086.897380767,강남구 자곡동 428-2천
191,강남구,202834.672836018,547867.929817287,강남구 압구정동 475 도
192,강남구,204307.159177031,546944.361877957,강남구 청담동 124-6 대
193,강남구,206001.079352246,545353.741552543,강남구 대치동 186-4천
194,강남구,207245.900421972,543237.108341684,강남구 일원동 678 대
195,강남구,205075.846109631,545818.57586495,강남구 삼성동 73 종
196,강남구,202768.622102754,547664.077881903,강남구 신사동 469 대
197,강남구,203519.478167892,546348.465063355,강남구 논현동 279-70 도
198,강남구,202861.082299371,547701.783822991,강남구 신사동 668-3 도
199,강남구,203390.756607833,546317.3374172,강남구 논현동 104-30 대
200,강남구,203283.713738637,546258.203038473,강남구 논현동 279-88 도
201,강남구,203288.688330248,546294.517380853,강남구 논현동 279-88 도
202,강남구,202927.70866686,546119.75611497,강남구 논현동 279-67 도
203,강남구,202915.618010576,546150.113407024,강남구 논현동 71-2 대
204,강남구,201989.256714878,547118.125064291,강남구 신사동 426 대
205,강남구,207315.309451032,543368.671933829,강남구 일원동 709-12 도
206,강남구,205010.712501937,545889.270789533,강남구 삼성동 172-19 도
207,강남구,201670.370179797,546955.293958568,강남구 신사동 415 대
208,강남구,205267.464218883,546815.97835195,강남구 삼성동 341-2도
209,강남구,203109.573827818,546186.808205213,강남구 논현동 106-1 대
210,강남구,204230.266359071,546548.629902353,강남구 청담동 31-7 대
211,강남구,202868.297973712,543636.2563954,강남구 역삼동 829-6 대
212,강남구,205264.405596463,544667.835603284,강남구 대치동 1011-8 도
213,강남구,201788.993733396,546128.667164172,강남구 논현동 280 도
214,강남구,201812.581121344,546029.358815312,강남구 논현동 280 도
215,강남구,201838.38783098,545933.84698985,강남구 논현동 280 도
216,강남구,202000.032471901,546197.231684343,강남구 논현동 667-13 도
217,강남구,204170.707704065,545295.462984064,강남구 삼성동 131 공
218,강남구,203782.105394636,542582.075577861,강남구 도곡동 523-2 도
219,강남구,204177.544868942,541881.69872702,강남구 포이동 1258-6대
220,강남구,204217.235558427,541900.556642399,강남구 포이동 220-10 도
221,강남구,201862.449003509,546391.414114709,강남구 신사동 501-5 도
222,강남구,202470.87945233,546682.358150045,강남구 논현동 592-7 대
223,강남구,208458.60746768,540644.995784722,강남구 세곡동 389-5 도
224,강남구,203211.677517925,542843.405185054,강남구 도곡동 958-24 도
225,강남구,203316.346724773,542825.952168683,강남구 도곡동 958-3 도
226,강남구,203311.665515984,542860.452719675,강남구 도곡동 959-30대
227,강남구,203292.085204413,542858.508166256,강남구 도곡동 933대
228,강남구,203885.615789729,546471.0484424,강남구 청담동 77-51 도
229,강남구,202595.955005279,548146.105886736,강남구 압구정동 369-1대
230,강남구,202615.670265002,548143.754526076,강남구 압구정동 477 도
231,강남구,202779.26557293,548173.093479355,강남구 압구정동 477 도
232,강남구,205532.495463967,544038.299780985,강남구 대치동 316 대
233,강남구,205472.457824452,544180.564237634,강남구 대치동 987-14 대
234,강남구,203852.747029385,542554.092001598,강남구 도곡동 524 도
235,강남구,204213.952955322,542123.116227377,강남구 포이동 1266대
236,강남구,204203.255025664,542141.290622714,강남구 포이동 1266대
237,강남구,204176.022083963,542147.648644273,강남구 포이동 1266대
238,강남구,204108.804872905,542141.599343757,강남구 포이동 248-1 도
239,강남구,204024.1333326,542122.095977057,강남구 포이동 248-5 도
240,강남구,203967.967502646,542066.222626476,강남구 포이동 238-10 잡
241,강남구,203468.407230042,547652.663625682,강남구 압구정동 497 공
242,강남구,203473.233230235,547632.603645792,강남구 압구정동 496 도
243,강남구,203638.782407144,547698.304379819,강남구 압구정동 376-1천
244,강남구,203687.517088316,547876.099686432,강남구 압구정동 495 도
245,강남구,203962.776468823,542098.897584324,강남구 포이동 1279천
246,강남구,203922.171206096,542202.407128845,강남구 포이동 279-2 도
247,강남구,204150.20666592,542133.64944348,강남구 포이동 1266대
248,강남구,201959.692616533,547608.33297578,강남구 압구정동 392 도
249,강남구,204016.635678882,543009.673194514,강남구 도곡동 161 대
250,강남구,202293.17902346,545345.178376376,강남구 논현동 280-22 도
251,강남구,202394.394858874,545330.84352391,강남구 논현동 149-34 대
252,강남구,202384.484894136,545321.862979481,강남구 논현동 280-23 도
253,강남구,202495.820855607,545110.823872972,강남구 역삼동 172-20 대
254,강남구,202584.431913207,545143.243342917,강남구 역삼동 800-5 도
255,강남구,202404.911337405,545323.527628605,강남구 논현동 279-154 도
256,강남구,202313.990059866,545295.689052472,강남구 논현동 280-23 도
257,강남구,202300.988531666,545291.611614778,강남구 논현동 280-23 도
258,강남구,202212.618612152,544946.9013078,강남구 역삼동 858-6 도
259,강남구,202245.114919388,545010.287273557,강남구 역삼동 858-6 도
260,강남구,202233.528222544,545045.883934917,강남구 논현동 280-22 도
261,강남구,202347.639946313,545050.074492386,강남구 역삼동 180-2 대
262,강남구,202897.749684847,545295.486460259,강남구 논현동 279-189 도
263,강남구,202163.063439628,545076.922612734,강남구 논현동 280 도
264,강남구,202127.507972996,545164.629966937,강남구 논현동 280 도
265,강남구,203352.470650717,543025.49181915,강남구 도곡동 962 대
266,강남구,203640.820336506,546496.908559189,강남구 청담동 77-83 도
267,강남구,203685.35755236,546341.538243914,강남구 삼성동 111-104 도
268,강남구,203695.935850074,546304.274323706,강남구 삼성동 38-11 대
269,강남구,204137.984810147,546369.898790411,강남구 삼성동 16-2 대
270,강남구,201963.986901378,545753.255565039,강남구 논현동 23-5 대
271,강남구,201974.536669019,545888.671446557,강남구 논현동 280-5 도
272,강남구,203931.612134485,544826.354147782,강남구 역삼동 697-37 대
273,강남구,203816.153868995,547839.655603342,강남구 압구정동 508 도
274,강남구,203836.395913999,547831.45232002,강남구 압구정동 508 도
275,강남구,203919.5888904,547797.112138403,강남구 압구정동 508 도
276,강남구,203871.313616772,546449.832878175,강남구 삼성동 26-5 대
277,강남구,202516.387470639,545979.452850167,강남구 논현동 279-67 도
278,강남구,202525.333209134,545999.405950902,강남구 논현동 279-67 도
279,강남구,201980.663656412,545872.891937848,강남구 논현동 22 대
280,강남구,201871.278794235,545840.096653997,강남구 논현동 280 도
281,강남구,203953.343017805,547783.543355311,강남구 압구정동 508 도
282,강남구,203096.892015951,543719.809150547,강남구 역삼동 834-84 도
283,강남구,203169.283349424,543748.721151514,강남구 역삼동 748-20 대
284,강남구,203007.68509187,543680.72471488,강남구 역삼동 750-25 대
285,강남구,203013.924850155,543694.3452083,강남구 역삼동 750-24 대
286,강남구,203071.927276299,543516.918552226,강남구 역삼동 858-19 도
287,강남구,203088.009587562,543523.224073997,강남구 역삼동 792 대
288,강남구,202650.735876757,546013.329268396,강남구 논현동 80-13 대
289,강남구,202819.047284032,546018.205847446,강남구 논현동 279-105 도
290,강남구,202827.616866874,546012.282845317,강남구 논현동 279-105 도
291,강남구,202924.986926316,543395.671242795,강남구 역삼동 833-6 종
292,강남구,202951.244032711,543420.333776662,강남구 역삼동 834-28 대
293,강남구,202937.87285097,543455.521822524,강남구 역삼동 858-18 도
294,강남구,202761.490906985,545985.698587594,강남구 논현동 279-129 도
295,강남구,202816.308282412,546008.626378243,강남구 논현동 279-105 도
296,강남구,202462.206097011,547866.29732286,강남구 압구정동 453 도
297,강남구,202459.133928603,547879.465000725,강남구 압구정동 453 도
298,강남구,202448.050239062,547928.538267694,강남구 압구정동 453 도
299,강남구,202414.148087551,547958.907789901,강남구 압구정동 453 도
300,강남구,202458.105188519,548094.910409285,강남구 압구정동 477 도
301,강남구,203518.713880615,543158.996547144,강남구 도곡동 909-13도
302,강남구,203529.44805001,543162.766079793,강남구 도곡동 909-13도
303,강남구,203540.990217598,543308.092265793,강남구 도곡동 544-5 대
304,강남구,203548.883340413,543317.607531399,강남구 도곡동 556 도
305,강남구,202922.289066873,543461.094843425,강남구 역삼동 858-18 도
306,강남구,204175.17857328,545262.592273567,강남구 역삼동 131 공
307,강남구,204231.216415849,545211.681334549,강남구 역삼동 802-28 도
308,강남구,203852.151800157,544847.155092195,강남구 역삼동 697-32 대
309,강남구,203914.679048143,544871.154743065,강남구 역삼동 697-61 대
310,강남구,204030.265767796,544913.782280592,강남구 역삼동 695-31 대
311,강남구,202056.719769736,547756.517105501,강남구 압구정동 434 대
312,강남구,209541.066391491,540464.039679612,강남구 세곡동 97-3도
313,강남구,206808.469528585,543837.781507207,강남구 개포동 14-8 도
314,강남구,206858.017879514,543730.561208089,강남구 일원동 13-1 공
315,강남구,206882.476219033,543751.832323875,강남구 일원동 700-5 도
316,강남구,206862.856653974,543811.369653559,강남구 개포동 14-4 대
317,강남구,203658.102989928,543588.577489609,강남구 도곡동 781-33 대
318,강남구,203757.801516573,543701.777909558,강남구 도곡동 778-4 대
319,강남구,204168.656438533,544967.693066394,강남구 역삼동 140-3 대
320,강남구,204180.262210799,544923.713123858,강남구 역삼동 805-6 도
321,강남구,202834.465333864,544408.247610791,강남구 역삼동 637-41 대
322,강남구,202365.991072393,548056.635780981,강남구 압구정동 372천
323,강남구,202294.9235288,548041.357011591,강남구 압구정동 369-4도
324,강남구,202202.654291586,547947.710432201,강남구 압구정동 435 도
325,강남구,202172.445906248,547930.983680693,강남구 압구정동 374-1천
326,강남구,202158.436694069,547939.969025826,강남구 압구정동 374천
327,강남구,202096.089740717,547837.168399628,강남구 압구정동 392 도
328,강남구,202095.972643247,547821.638224718,강남구 압구정동 434 대
329,강남구,203475.117361443,543624.366354063,강남구 역삼동 776-20 대
330,강남구,203250.695704503,543535.027617944,강남구 역삼동 792-73 대
331,강남구,203082.179634268,543456.70913867,강남구 도곡동 834-64 대
332,강남구,203343.850925802,544799.714437469,강남구 역삼동 801-43 도
333,강남구,203338.155592524,544787.324829811,강남구 역삼동 801-22 도
334,강남구,203327.317227477,544790.468928177,강남구 역삼동 801-43 도
335,강남구,203334.473677229,544802.368677122,강남구 역삼동 801-43 도
336,강남구,205293.968487619,544095.30706466,강남구 대치동 1018 대
337,강남구,203009.086941807,544474.41407152,강남구 역삼동 640-19 대
338,강남구,202994.593898644,544514.227316153,강남구 역삼동 640-16 대
339,강남구,203160.761871921,544529.161521341,강남구 역삼동 803-1 도
340,강남구,203340.548929946,544439.920105422,강남구 역삼동 804-13 도
341,강남구,203206.461529312,544424.457687672,강남구 역삼동 803-8 도
342,강남구,204176.897295923,544435.003035256,강남구 역삼동 713 학
343,강남구,203830.100171769,544277.039648547,강남구 역삼동 711-2 대
344,강남구,205280.352154866,544130.846250477,강남구 대치동 1018 대
345,강남구,202197.473150591,545943.307587166,강남구 논현동 56 대
346,강남구,203267.531426358,547714.395039069,강남구 압구정동 498 공
347,강남구,203232.069510765,547605.532506082,강남구 신사동 668-29 도
348,강남구,203129.410217212,547736.167828354,강남구 압구정동 496 도
349,강남구,202267.125243761,544802.745297052,강남구 역삼동 858 도
350,강남구,202325.65563138,544645.639453733,강남구 역삼동 615-10 대
351,강남구,202589.075317678,547556.308941109,강남구 신사동 458 대
352,강남구,202538.701260856,547462.765425056,강남구 신사동 456 대
353,강남구,202503.248772547,547439.713240786,강남구 신사동 456 대
354,강남구,202526.121892822,547223.16990354,강남구 신사동 614 대
355,강남구,202360.688474569,544552.807350085,강남구 역삼동 617-1 대
356,강남구,202394.843541168,544457.816089731,강남구 역삼동 619-11 대
357,강남구,202520.365920398,547142.350468964,강남구 신사동 668-12 도
358,강남구,202513.884401343,547052.059676054,강남구 신사동 668-13 도
359,강남구,202612.208152908,547179.727846096,강남구 신사동 613-5 대
360,강남구,202695.829588797,547135.323605354,강남구 신사동 668-16 도
361,강남구,202679.86853509,543742.248071292,강남구 역삼동 858-14 도
362,강남구,202960.37730812,547656.97606736,강남구 신사동 668-7 도
363,강남구,203341.790063193,548004.908041612,강남구 압구정동 496 도
364,강남구,202823.976141875,543357.286749182,강남구 역삼동 833-7 학
365,강남구,202775.629725757,547328.342240374,강남구 신사동 616-6 대
366,강남구,202719.259178601,547570.167582324,강남구 신사동 668-10 도
367,강남구,202716.270884769,547582.587404332,강남구 신사동 668-10 도
368,강남구,202783.663517387,547505.305192514,강남구 신사동 475 도
369,강남구,202785.269250346,547449.782992964,강남구 신사동 668-12 도
370,강남구,202736.323642985,543774.284912951,강남구 역삼동 827-76 대
371,강남구,202812.394496526,543782.902397249,강남구 역삼동 828-8 대
372,강남구,202806.185236857,543800.78583506,강남구 역삼동 828-8 대
373,강남구,202818.620090508,543795.092133204,강남구 역삼동 828-8 대
374,강남구,203178.978198254,545401.593731514,강남구 논현동 261-1 대
375,강남구,203188.798391147,545372.985680983,강남구 역삼동 279-110 도
376,강남구,203191.543815919,545390.563878873,강남구 역삼동 261-1 대
377,강남구,202783.593043473,547411.08455688,강남구 신사동 668-15 도
378,강남구,202650.97970359,547526.934497184,강남구 신사동 668-10 도
379,강남구,202885.161445149,543181.355767061,강남구 도곡동 836-24 대
380,강남구,202839.337872125,543293.254831083,강남구 도곡동 836 대
381,강남구,202863.775272938,543624.450685678,강남구 역삼동 829-6 대
382,강남구,202600.649338726,543921.112961153,강남구 역삼동 824-12 대
383,강남구,202819.460351491,544203.255707837,강남구 역삼동 647-9 대
384,강남구,202888.743021356,544021.803931836,강남구 역삼동 735-15 대
385,강남구,202894.200894517,544032.296925229,강남구 역삼동 735-15 대
386,강남구,204424.900053702,543227.221234776,강남구 도곡동 산24-1 임
387,강남구,203183.450221894,545824.748204641,강남구 논현동 246-23 대
388,강남구,203150.630702917,545812.279016636,강남구 논현동 279-147 도
389,강남구,204415.880283337,543254.447291666,강남구 도곡동 산23 임
390,강남구,204380.5078125,543226.999999584,강남구 도곡동 산24-2임
391,강남구,203484.949056519,543595.103955172,강남구 도곡동 776-19 대
392,강남구,204277.327307223,543943.311177432,강남구 역삼동 757 대
393,강남구,204295.323666678,543930.325190278,강남구 도곡동 757 대
394,강남구,203685.181186574,543707.989753119,강남구 역삼동 777-19 대
395,강남구,203578.145843918,543727.251467077,강남구 역삼동 775-4 대
396,강남구,203521.440292923,543879.289578169,강남구 역삼동 733-30 대
397,강남구,203311.165055019,544432.402644816,강남구 역삼동 737 대
398,강남구,204290.18498114,543911.422803537,강남구 도곡동 757 대
399,강남구,204533.376350389,544051.526009264,강남구 역삼동 922 대
400,강남구,204628.044259899,544224.390650096,강남구 대치동 919-4 대
401,강남구,204611.430374786,544233.404118731,강남구 역삼동 920-8 대
402,강남구,203375.1798422,544016.216392348,강남구 역삼동 726-7 대
403,강남구,208609.549760014,543088.354323483,강남구 수서동 733-4 도
404,강남구,208221.365700355,542799.181716025,강남구 수서동 산10-1임
405,강남구,208246.235176027,542779.324981038,강남구 수서동 산10-1임
406,강남구,202011.739089032,545469.876998824,강남구 논현동 280 도
407,강남구,202008.914231726,545796.719799417,강남구 논현동 279-96 도
408,강남구,202017.859427642,545773.915194344,강남구 논현동 24-10 도
409,강남구,202942.095226295,543842.182276226,강남구 역삼동 858-17 도
410,강남구,202960.330882334,543834.301541097,강남구 역삼동 741-32 대
411,강남구,208796.781331459,543131.957538644,강남구 수서동 735-1 도
412,강남구,208860.803997855,543073.560691043,강남구 수서동 708 대
