연번,도로명,연장,차로수,방향,오전,낮,오후,전일,2022 년전일,전년대비
34.0,고덕로62길,649,2,양방향,15.5,15.5,14.0,15.1,15.8,-0.7
35.0,고덕로79길,680,2,양방향,12.4,12.0,11.5,12.1,12.9,-0.8
36.0,고덕로80길,690,4,양방향,17.4,18.3,18.1,18.0,19.1,-1.1
37.0,고산자로,"5,626",4~10,양방향,22.5,19.9,17.9,20.3,20.3,0.0
38.0,고척로,"2,462",3~4,양방향,16.0,16.0,15.3,16.0,16.6,-0.6
39.0,곰달래로,"2,782",2~3,양방향,17.0,15.3,14.1,15.7,15.8,-0.1
40.0,공릉로,"4,386",2~5,양방향,17.7,16.1,15.6,16.6,17.8,-1.2
41.0,공원로,"1,272",4~9,양방향,23.4,22.4,21.8,22.7,23.6,-0.9
42.0,공항대로,"6,772",8~10,양방향,23.3,21.2,18.3,21.3,21.7,-0.4
43.0,공항대로41길,812,2~4,양방향,15.5,13.5,12.7,14.0,14.8,-0.8
44.0,공항대로59길,651,3,양방향,13.6,12.5,9.2,12.4,12.4,0.0
45.0,과천대로,"2,237",9,양방향,22.4,19.5,15.5,19.7,19.9,-0.2
46.0,관악로,"2,370",6~9,양방향,24.8,22.9,19.4,23.0,22.8,0.2
47.0,광나루로,"6,641",2~7,양방향,26.8,24.6,21.2,24.6,24.5,0.1
48.0,광나루로56길,504,7,양방향,20.2,19.4,18.3,19.4,20.1,-0.7
49.0,광운로,"1,534",2~4,양방향,21.2,19.7,19.1,20.0,20.2,-0.2
50.0,광평로,"3,429",6,양방향,25.3,24.3,23.1,24.4,25.3,-0.9
51.0,구로동로,"2,169",4,양방향,20.3,18.1,17.4,18.7,18.9,-0.2
52.0,구로중앙로,"2,484",4~8,양방향,23.0,21.1,18.8,21.4,21.8,-0.4
53.0,구의강변로,325,4,양방향,15.2,13.7,13.5,14.2,14.8,-0.6
54.0,구천면로,"6,726",2~6,양방향,19.1,18.1,16.4,18.1,18.6,-0.5
55.0,국제금융로,"1,331",4~7,양방향,20.3,17.3,15.0,17.7,18.3,-0.6
56.0,국회대로,"9,397",4~11,양방향,27.5,27.1,22.2,26.6,28.0,-1.4
57.0,군자로,866,2,양방향,16.3,16.8,16.5,16.8,18.0,-1.2
58.0,금낭화로,"1,668",4,양방향,18.7,16.0,15.9,16.9,17.7,-0.8
59.0,금하로,"2,871",4~6,양방향,18.9,17.6,14.9,17.7,17.9,-0.2
60.0,금호로,"3,297",2~4,양방향,19.1,17.7,16.8,17.9,18.1,-0.2
61.0,긴고랑로,"1,861",2~5,양방향,19.4,17.5,16.8,18.2,18.7,-0.5
62.0,김포대로,514,4,양방향,19.0,26.1,20.7,23.8,25.2,-1.4
63.0,까치산로,"2,046",2,양방향,16.5,15.2,14.1,15.4,16.0,-0.6
64.0,나루터로,902,4,양방향,17.1,15.9,14.7,16.1,16.0,0.1
65.0,난계로,"2,640",4~5,양방향,20.4,18.9,17.2,19.0,19.4,-0.4
66.0,난곡로,"3,701",4~6,양방향,21.3,20.5,18.6,20.3,20.8,-0.5
67.0,남대문로,"1,329",6~9,양방향,24.6,17.9,16.1,19.5,20.7,-1.2
68.0,남대문로7길,248,4,양방향,20.0,15.5,16.0,17.7,18.1,-0.4
69.0,남부순환로,"32,092",4~13,양방향,27.3,26.5,21.9,25.9,26.3,-0.4
70.0,남부순환로72길,228,3,양방향,13.8,14.2,13.7,14.4,14.8,-0.4
71.0,내부순환로,"22,265",4~6,양방향,53.2,58.5,39.8,53.7,55.6,-1.9
72.0,노들로,"8,599",4~10,양방향,40.0,40.8,34.4,39.3,40.7,-1.4
73.0,노량진로,"2,582",6,양방향,25.8,24.7,22.7,24.6,24.6,0.0
74.0,노량진로23길,270,3,양방향,22.1,21.8,18.5,20.9,23.7,-2.8
75.0,노원로,"5,991",4~9,양방향,24.6,23.1,21.4,23.5,24.2,-0.7
76.0,노원로26길,"1,006",2,양방향,19.6,18.9,18.2,19.0,19.4,-0.4
77.0,노해로,"5,312",4~8,양방향,21.6,19.4,17.8,19.8,20.0,-0.2
78.0,노해로66길,685,4,양방향,21.2,20.7,19.9,20.8,21.4,-0.6
79.0,녹사평대로,"4,272",4~8,양방향,37.8,35.0,30.6,34.8,34.9,-0.1
80.0,녹사평대로26길,519,2,양방향,23.7,19.9,20.9,21.8,21.6,0.2
81.0,녹사평대로58길,"2,087",2,양방향,32.3,30.7,25.9,30.1,30.5,-0.4
82.0,논현로,"8,312",4~8,양방향,27.1,22.1,18.5,22.8,22.8,0.0
83.0,농수산시장로,460,6,양방향,29.4,29.8,25.6,29.2,28.4,0.8
84.0,능동로,"4,502",4~6,양방향,19.7,19.1,16.7,18.7,19.0,-0.3
85.0,다산로,"2,986",4~6,양방향,21.8,17.8,15.9,18.6,18.7,-0.1
86.0,답십리로,"4,123",2~7,양방향,21.2,19.0,17.0,19.3,18.7,0.6
87.0,당산로,"2,523",4~8,양방향,20.6,19.1,18.0,19.6,19.6,0.0
88.0,당산로54길,472,4,양방향,27.6,27.2,27.1,27.5,28.1,-0.6
89.0,대림로,"2,669",4~6,양방향,18.6,16.8,14.9,17.1,17.7,-0.6
90.0,대방천로,"2,660",2~5,양방향,19.6,18.5,17.8,18.8,19.0,-0.2
91.0,대학로,"1,637",4~6,양방향,22.0,18.6,18.5,19.7,19.6,0.1
92.0,대흥로,"1,970",2~6,양방향,18.6,15.7,16.1,16.9,17.2,-0.3
93.0,덕릉로,"9,642",2~8,양방향,22.2,20.7,18.6,20.9,21.6,-0.7
94.0,덕수궁길,938,1,양방향,18.7,15.6,16.5,17.3,17.8,-0.5
95.0,도곡로,"4,681",6~9,양방향,24.9,21.7,16.2,21.6,21.9,-0.3
96.0,도곡로62길,637,2,양방향,21.2,22.7,22.8,22.4,23.0,-0.6
97.0,도당로,"1,520",4,양방향,18.9,17.0,16.6,17.7,18.3,-0.6
98.0,도당로13길,621,2,양방향,14.1,10.9,10.6,11.8,12.3,-0.5
99.0,도림로,"4,947",4~6,양방향,21.5,19.9,17.9,20.0,20.2,-0.2
100.0,도림천로,"4,999",4~8,양방향,29.6,28.7,24.7,28.1,27.8,0.3
101.0,도봉로,"9,981",6~9,양방향,24.0,21.5,20.4,22.3,22.3,0.0
102.0,도봉로170길,394,4,양방향,17.1,16.6,12.6,16.2,16.4,-0.2
103.0,도봉로8길,877,3,양방향,14.2,13.0,12.2,13.4,13.9,-0.5
104.0,도산대로,"3,279",9~12,양방향,25.8,19.0,15.3,20.0,20.1,-0.1
105.0,도신로,"2,653",4~5,양방향,21.1,20.0,18.5,20.1,20.4,-0.3
106.0,도영로,"1,443",4,양방향,22.5,20.8,20.3,21.2,21.9,-0.7
107.0,독막로,"3,394",4~6,양방향,22.5,20.1,19.1,20.7,21.5,-0.8
108.0,독산로,"3,724",4,양방향,20.6,18.8,17.4,19.2,19.2,0.0
109.0,독서당로,"3,829",4~5,양방향,22.7,20.9,19.1,21.0,21.0,0.0
110.0,돈화문로,916,2~4,양방향,20.2,15.6,14.6,16.9,17.6,-0.7
111.0,돌곶이로,"2,051",4,양방향,18.3,17.0,15.6,17.2,17.7,-0.5
112.0,동교로,"2,245",4,양방향,20.6,17.3,16.7,18.1,18.6,-0.5
113.0,동남로,"10,513",4~8,양방향,25.8,24.5,21.4,24.4,24.8,-0.4
114.0,동남로12길,382,4,양방향,16.0,16.6,15.0,15.9,15.7,0.2
115.0,동남로79길,388,3,양방향,22.3,23.4,22.0,22.9,24.7,-1.8
116.0,동남로81길,521,3,양방향,18.7,17.8,17.1,17.8,18.3,-0.5
117.0,동남로82길,826,2,양방향,20.6,19.8,19.5,19.9,20.9,-1.0
118.0,동부간선도로,"20,151",5~8,양방향,48.4,56.1,42.1,50.9,50.4,0.5
119.0,동산로,979,2~4,양방향,17.1,15.4,15.1,16.1,16.6,-0.5
120.0,동소문로,"3,332",6~8,양방향,23.1,21.3,15.8,20.6,20.3,0.3
121.0,동소문로20길,251,2,양방향,11.8,10.2,9.2,10.5,11.0,-0.5
122.0,동일로,"17,984",3~9,양방향,26.0,24.9,22.0,24.6,24.6,0.0
123.0,동일로173가길,899,4,양방향,15.5,13.9,14.4,14.7,15.0,-0.3
124.0,동일로191가길,419,2,양방향,20.8,18.2,18.0,19.0,19.2,-0.2
125.0,동일로213길,527,2,양방향,16.6,16.0,15.9,16.2,16.2,0.0
126.0,동일로214길,593,2,양방향,16.3,16.4,15.5,16.2,17.1,-0.9
127.0,동일로243길,520,4,양방향,17.4,17.1,15.7,17.3,18.4,-1.1
128.0,동작대로,"5,132",4~9,양방향,28.8,24.6,20.9,25.6,25.9,-0.3
129.0,동호로,"4,073",4~10,양방향,24.6,21.1,20.0,22.5,22.7,-0.2
130.0,두산로,915,4,양방향,21.1,19.1,18.1,19.6,19.8,-0.2
131.0,두텁바위로,579,3,양방향,20.3,18.6,13.6,18.3,18.0,0.3
132.0,등촌로,"2,443",6~7,양방향,22.7,22.9,20.6,22.5,22.7,-0.2
133.0,디지털로,"3,508",4~6,양방향,20.1,17.8,15.1,18.0,18.4,-0.4
134.0,디지털로10길,618,5,양방향,14.4,13.3,12.0,13.4,14.3,-0.9
135.0,디지털로9길,768,4,양방향,18.4,16.2,15.1,16.9,17.4,-0.5
136.0,뚝섬로,"6,907",2~7,양방향,20.2,18.6,16.5,18.7,18.9,-0.2
137.0,마곡서로,654,4,양방향,19.1,20.8,19.7,20.3,25.3,-5.0
138.0,마곡중앙5로,999,4,양방향,21.5,21.8,20.3,21.3,20.2,1.1
139.0,마곡중앙로,"2,125",4~6,양방향,26.0,25.2,21.2,24.3,24.2,0.1
140.0,마들로,"8,443",2~7,양방향,24.9,23.4,21.7,23.6,24.3,-0.7
141.0,마른내로,"1,756",2,양방향,16.6,14.3,14.8,15.6,16.2,-0.6
142.0,마방로,766,4,양방향,20.7,19.2,17.5,19.4,20.6,-1.2
143.0,마장로,"3,687",2~7,양방향,19.1,16.7,15.6,17.2,17.4,-0.2
144.0,마장로1길,216,3,양방향,16.2,14.3,18.0,15.6,14.9,0.7
145.0,마조로,870,2~4,양방향,18.7,17.7,17.6,18.2,19.2,-1.0
146.0,마천로,"3,494",2~4,양방향,18.9,17.5,17.2,17.9,18.0,-0.1
147.0,마포대로,"2,794",9~11,양방향,24.6,21.9,19.6,22.6,23.1,-0.5
148.0,만리재로,"2,199",4~8,양방향,25.2,23.7,20.1,23.1,23.2,-0.1
149.0,망우로,"5,752",6~8,양방향,24.0,20.9,18.1,21.4,21.6,-0.2
150.0,망우로21길,372,2,양방향,16.9,16.9,15.3,18.6,18.2,0.4
151.0,망우로36길,288,2,양방향,18.6,19.2,18.9,19.1,19.9,-0.8
152.0,망원로,"2,150",2~4,양방향,18.0,16.3,15.7,16.8,17.2,-0.4
153.0,매봉산로,929,4~6,양방향,18.4,17.6,16.9,17.8,18.0,-0.2
154.0,면목로,"4,991",2~4,양방향,15.5,14.0,13.2,14.4,14.9,-0.5
155.0,면목천로,"1,974",4~6,양방향,22.7,22.8,21.2,22.5,23.1,-0.6
156.0,명달로,"1,525",4,양방향,22.3,21.7,18.4,21.4,21.9,-0.5
157.0,명일로,"3,134",2~3,양방향,16.4,16.2,15.2,16.3,16.9,-0.6
158.0,모래내로,"4,736",2~5,양방향,19.4,20.4,18.9,20.1,20.4,-0.3
159.0,모래내로15길,452,4,양방향,13.6,13.3,12.9,13.5,13.7,-0.2
160.0,목동남로,"1,139",4~5,양방향,20.2,21.9,20.4,21.3,21.0,0.3
161.0,목동동로,"5,595",2~5,양방향,24.5,23.4,21.8,23.3,23.9,-0.6
162.0,목동로,"2,718",4~8,양방향,24.8,23.6,19.4,23.0,22.2,0.8
163.0,목동서로,"4,565",2~5,양방향,30.0,27.3,22.3,26.9,27.0,-0.1
164.0,목동중앙로,"2,231",4~5,양방향,20.2,20.1,18.6,19.8,19.7,0.1
165.0,목동중앙본로,"1,341",2,양방향,18.3,18.6,17.3,18.3,18.5,-0.2
166.0,무교로,481,3~4,양방향,18.5,13.7,13.2,15.7,17.4,-1.7
167.0,무학로,"2,068",4~5,양방향,19.8,18.8,18.1,19.0,19.9,-0.9
168.0,문래로,"1,865",2~8,양방향,16.9,14.2,13.9,15.1,15.8,-0.7
169.0,문성로,"2,593",4,양방향,22.3,21.7,20.4,21.7,21.9,-0.2
170.0,문정로,"2,582",4,양방향,19.2,18.3,17.6,18.5,19.5,-1.0
171.0,문정로4길,393,2,양방향,14.6,13.7,12.9,14.2,14.5,-0.3
172.0,바우뫼로,"1,554",4,양방향,20.3,19.5,18.0,19.6,20.1,-0.5
173.0,반포대로,"4,618",4~10,양방향,26.8,21.4,17.5,22.8,23.3,-0.5
174.0,발산로,513,5,양방향,26.7,26.9,26.3,27.0,25.0,2.0
175.0,밤고개로,"3,595",6~9,양방향,25.8,21.9,19.8,22.9,22.9,0.0
176.0,방배로,"2,884",4~8,양방향,20.9,20.3,17.2,20.0,20.4,-0.4
177.0,방학로,"3,821",2~6,양방향,23.7,20.3,19.2,21.2,20.9,0.3
178.0,방화대로,"1,709",6~9,양방향,25.6,23.8,22.8,24.0,24.1,-0.1
179.0,방화대로47길,399,4,양방향,12.1,12.9,12.6,12.6,13.3,-0.7
180.0,방화대로48길,287,4,양방향,12.9,12.2,10.2,12.1,13.1,-1.0
181.0,방화동로,"1,387",2,양방향,20.1,16.4,16.3,17.6,17.7,-0.1
182.0,백련산로,"1,858",2~4,양방향,18.6,18.8,17.9,18.6,19.5,-0.9
183.0,백범로,"4,145",2~8,양방향,23.5,19.9,18.1,20.6,20.7,-0.1
184.0,백범로90길,265,2,양방향,26.8,23.0,22.5,24.4,25.0,-0.6
185.0,백석동길,146,2,양방향,17.3,14.2,14.4,15.5,15.3,0.2
186.0,백제고분로,"5,252",4~9,양방향,22.7,20.3,18.9,20.7,20.6,0.1
187.0,버드나루로,"1,543",4,양방향,22.0,20.4,19.4,20.8,20.9,-0.1
188.0,벌말로,516,3,양방향,43.3,60.3,53.5,54.4,58.0,-3.6
189.0,범안로,"1,252",4~6,양방향,17.1,15.9,12.3,15.7,16.1,-0.4
190.0,벚꽃로,"3,496",2~4,양방향,23.5,23.2,19.6,22.7,23.0,-0.3
191.0,보광로,"1,333",2~4,양방향,21.4,18.0,17.8,19.0,19.2,-0.2
192.0,보국문로,"2,095",2~4,양방향,20.9,19.0,17.5,19.2,19.8,-0.6
193.0,보라매로,"1,180",5~6,양방향,22.2,19.4,17.3,19.9,19.3,0.6
194.0,보문로,"2,064",4~6,양방향,20.6,19.7,18.9,19.9,20.0,-0.1
195.0,봉우재로,"2,466",4,양방향,20.6,18.8,17.6,19.1,19.5,-0.4
196.0,봉은사로,"4,213",4~7,양방향,22.9,17.2,14.0,18.0,18.3,-0.3
197.0,봉은사로114길,614,2,양방향,21.0,20.4,18.5,20.2,22.7,-2.5
198.0,봉천로,"5,110",5~12,양방향,28.5,27.8,25.2,27.6,27.7,-0.1
199.0,봉화산로,"2,555",3~5,양방향,20.7,18.8,16.4,19.0,18.8,0.2
200.0,부일로,"1,595",3~4,양방향,22.6,22.8,22.1,22.8,24.0,-1.2
201.0,북부간선도로,"5,666",4,양방향,43.7,43.1,29.7,40.7,42.9,-2.2
202.0,북아현로,"2,200",2,양방향,24.3,24.8,23.1,24.7,25.0,-0.3
203.0,북악산로,"11,368",2~3,양방향,28.8,28.1,28.0,28.1,28.3,-0.2
204.0,북촌로,"1,516",3~4,양방향,19.7,18.2,17.7,18.9,19.2,-0.3
205.0,북한산로,"3,363",4~5,양방향,30.5,27.8,26.9,28.8,29.4,-0.6
206.0,분당수서로,"9,939",6,양방향,45.2,42.6,31.6,43.1,45.6,-2.5
207.0,불광로,"2,138",2~4,양방향,17.9,16.1,14.8,16.5,16.9,-0.4
208.0,불광천길,459,2,양방향,24.3,23.1,21.4,23.1,24.0,-0.9
209.0,사가정로,"4,384",2~8,양방향,21.6,20.9,17.9,20.4,20.7,-0.3
210.0,사당로,"3,160",4~8,양방향,24.0,23.4,22.0,23.4,23.3,0.1
211.0,사임당로,"1,886",3~4,양방향,18.9,17.4,14.9,17.5,17.9,-0.4
212.0,사직로,"1,906",6~11,양방향,29.3,25.6,24.2,26.8,27.3,-0.5
213.0,사직로8길,905,3~5,양방향,19.6,17.4,16.3,18.0,18.7,-0.7
214.0,사평대로,"3,803",6~9,양방향,26.3,22.8,18.3,22.9,23.4,-0.5
215.0,살곶이길,"3,612",3~5,양방향,26.4,25.1,24.2,25.4,26.0,-0.6
216.0,삼각산로,"1,220",2~3,양방향,16.6,15.2,14.7,15.8,15.9,-0.1
217.0,삼개로,867,2,양방향,22.4,20.2,18.1,20.5,20.7,-0.2
218.0,삼봉로,340,2,양방향,17.6,13.3,13.6,15.7,17.4,-1.7
219.0,삼선교로,907,2~3,양방향,16.1,15.9,14.5,15.8,16.3,-0.5
220.0,삼성로,"5,058",6~8,양방향,22.7,19.5,16.2,19.9,20.9,-1.0
221.0,삼양로,"6,990",2~7,양방향,21.0,19.0,18.2,19.6,20.2,-0.6
222.0,삼일대로,"4,595",4~11,양방향,30.2,25.5,23.0,26.6,27.1,-0.5
223.0,삼전로,"1,725",5~8,양방향,25.7,22.2,18.4,22.4,23.3,-0.9
224.0,삼전로1길,269,2,양방향,24.6,23.9,22.0,23.6,23.6,0.0
225.0,삼청로,"3,440",2~5,양방향,26.6,23.9,23.5,25.0,25.5,-0.5
226.0,삼학사로,"1,416",4,양방향,20.7,19.0,18.1,19.4,19.8,-0.4
227.0,삼학사로1길,"1,100",4,양방향,27.4,27.5,25.9,27.1,27.3,-0.2
228.0,삼학사로2길,275,4,양방향,18.4,17.6,15.0,17.5,17.4,0.1
229.0,상계로,"3,247",3~5,양방향,18.5,17.6,16.6,17.9,18.3,-0.4
230.0,상도로,"4,994",4~9,양방향,21.8,20.1,18.6,20.5,20.7,-0.2
231.0,상봉로,"1,388",4~5,양방향,20.9,19.3,17.9,19.5,19.8,-0.3
232.0,상봉중앙로,659,4,양방향,24.8,23.9,22.0,23.7,24.0,-0.3
233.0,상암로,"4,231",2~4,양방향,18.7,17.6,16.3,17.8,18.6,-0.8
234.0,상암로61길,288,2,양방향,15.2,15.4,14.9,15.4,16.4,-1.0
235.0,상암로79길,583,4,양방향,19.4,18.0,18.1,18.8,20.1,-1.3
236.0,상암산로,917,4~6,양방향,19.9,18.5,17.8,18.8,19.1,-0.3
237.0,상일로,"1,673",6~7,양방향,22.7,23.7,21.3,22.9,23.3,-0.4
238.0,상일로11길,616,2,양방향,18.5,19.8,17.8,18.9,21.9,-3.0
239.0,새말로,"1,846",4~10,양방향,19.1,18.0,16.6,18.1,18.4,-0.3
240.0,새말로20길,535,4,양방향,24.6,23.6,23.5,23.7,22.4,1.3
241.0,새문안로,"1,116",6~9,양방향,25.7,20.6,19.9,22.6,23.3,-0.7
242.0,새문안로3길,637,3~4,양방향,17.1,15.6,15.0,16.2,16.7,-0.5
243.0,새문안로5길,534,2~3,양방향,16.5,13.5,12.0,14.3,15.1,-0.8
244.0,새창로,"2,287",3~4,양방향,17.1,14.7,13.9,15.4,15.3,0.1
245.0,서강로,"1,525",7~9,양방향,26.2,22.4,22.1,23.5,24.2,-0.7
246.0,서부간선도로,"10,158",4~7,양방향,33.1,32.1,24.8,31.5,31.2,0.3
247.0,서부간선지하도로,"8,737",4,양방향,60.1,66.2,43.1,60.9,64.2,-3.3
248.0,서빙고로,"6,128",4~12,양방향,35.0,31.4,23.2,30.6,30.4,0.2
249.0,서빙고로51길,634,4,양방향,24.7,23.1,21.7,23.6,23.8,-0.2
250.0,서소문로,"1,458",4~7,양방향,19.7,16.3,16.0,18.1,20.5,-2.4
251.0,서오릉로,"2,856",5~8,양방향,22.3,19.6,17.6,20.4,20.3,0.1
252.0,서운로,"2,303",4~5,양방향,17.5,15.1,13.7,15.5,15.3,0.2
253.0,서울시립대로,"1,521",4~5,양방향,22.4,20.1,19.1,20.5,20.7,-0.2
254.0,서초대로,"4,271",4~8,양방향,25.6,22.1,18.3,22.3,22.0,0.3
255.0,서초중앙로,"2,624",6~9,양방향,23.4,19.0,16.1,19.9,20.0,-0.1
256.0,석계로,"1,089",3,양방향,18.2,17.1,16.7,17.5,18.3,-0.8
257.0,석계로1길,763,2,양방향,22.4,21.9,21.0,21.8,20.8,1.0
258.0,석촌호수로,"3,006",4~7,양방향,21.9,19.0,18.0,19.6,19.9,-0.3
259.0,선릉로,"6,344",4~8,양방향,22.3,19.4,16.5,19.8,20.1,-0.3
260.0,선유로,"4,170",4~8,양방향,23.4,21.1,19.7,21.7,21.7,0.0
261.0,선유서로,"1,114",2,양방향,16.4,15.6,14.1,15.7,16.6,-0.9
262.0,섬밭로,"3,295",2~4,양방향,18.8,19.0,18.6,19.0,19.5,-0.5
263.0,성균관로,949,2,양방향,21.2,18.0,18.6,19.4,20.1,-0.7
264.0,성내로,962,4~5,양방향,21.0,18.5,18.8,19.4,20.0,-0.6
265.0,성내천로,"1,643",2,양방향,20.0,18.6,19.1,19.2,19.1,0.1
266.0,성덕정길,"1,558",2,양방향,19.1,17.0,13.9,17.1,17.3,-0.2
267.0,성북로,"1,942",2~5,양방향,22.4,20.2,19.7,21.1,21.9,-0.8
268.0,성산로,"8,711",4~9,양방향,28.7,25.2,22.3,25.9,26.5,-0.6
269.0,성수이로,"1,140",2~3,양방향,18.3,15.7,15.0,16.5,17.2,-0.7
270.0,성수일로,"1,193",3~4,양방향,15.8,14.9,14.9,15.4,15.9,-0.5
271.0,성안로,"2,417",2~6,양방향,18.6,16.6,15.8,17.1,17.1,0.0
272.0,성암로,"3,383",2~6,양방향,26.4,27.0,24.7,26.3,27.0,-0.7
273.0,성중길,"1,258",2,양방향,19.4,19.4,16.1,19.1,20.1,-1.0
274.0,세검정로,"2,828",4~5,양방향,21.9,21.9,20.6,21.9,22.5,-0.6
275.0,세종대로,"2,164",10~14,양방향,22.5,18.8,17.7,20.0,21.2,-1.2
276.0,세종대로18길,221,4,양방향,22.0,16.6,16.9,18.1,20.0,-1.9
277.0,세종대로20길,183,3,양방향,15.0,11.9,10.1,12.5,13.2,-0.7
278.0,세종대로21길,211,1,양방향,18.6,16.9,16.9,18.0,18.2,-0.2
279.0,소공로,"1,287",5~11,양방향,23.2,19.0,18.4,20.2,20.5,-0.3
280.0,소월로,"3,984",4~6,양방향,33.3,29.9,28.4,30.7,30.6,0.1
281.0,소월로2길,272,4,양방향,25.1,23.5,22.3,24.1,22.9,1.2
282.0,소월로3길,314,3,양방향,30.1,28.6,28.2,29.2,30.2,-1.0
283.0,소파로,"1,394",3~4,양방향,23.8,22.3,21.8,22.7,23.9,-1.2
284.0,솔밭로,"1,130",2,양방향,18.0,18.3,16.1,17.9,18.6,-0.7
285.0,솔샘로,"3,384",2~6,양방향,18.1,17.3,16.6,17.7,17.9,-0.2
286.0,솔샘로67길,"1,518",2,양방향,18.6,17.6,16.6,17.9,18.2,-0.3
287.0,송월길,906,2,양방향,18.4,17.4,16.9,17.8,18.1,-0.3
288.0,송이로,"2,683",3~4,양방향,17.1,15.6,15.2,16.1,17.6,-1.5
289.0,송이로32길,443,2,양방향,14.6,13.2,11.8,13.5,13.5,0.0
290.0,송파대로,"7,362",7~13,양방향,25.8,22.7,19.1,23.1,23.3,-0.2
291.0,송파대로4길,325,4,양방향,15.9,18.7,17.0,17.7,17.9,-0.2
292.0,송파대로60길,972,2,양방향,43.7,39.7,29.3,37.9,36.6,1.3
293.0,수락산로,"2,609",2~3,양방향,20.6,19.9,18.2,20.0,20.8,-0.8
294.0,수명로,862,6,양방향,24.3,24.1,21.8,23.4,24.5,-1.1
295.0,수색로,"4,106",5~9,양방향,23.8,25.3,22.0,24.3,25.0,-0.7
296.0,수색로6길,283,3,양방향,23.2,22.0,21.0,22.0,23.5,-1.5
297.0,수유로,846,2~5,양방향,17.6,15.0,14.9,16.0,16.9,-0.9
298.0,수표로,156,2,양방향,13.3,11.9,10.8,12.4,13.3,-0.9
299.0,시루봉로,"3,139",2~4,양방향,19.5,18.6,17.6,18.9,19.4,-0.5
300.0,시흥대로,"6,833",10~12,양방향,23.2,22.2,18.3,21.7,22.1,-0.4
301.0,신길로,"3,018",4~8,양방향,21.4,19.9,17.7,20.1,20.1,0.0
302.0,신내로,"2,974",4~9,양방향,25.6,24.3,23.1,24.6,24.7,-0.1
303.0,신림로,"3,910",4~7,양방향,22.0,20.2,18.4,20.4,20.3,0.1
304.0,신목로,"1,277",4~5,양방향,17.9,17.1,15.2,17.0,17.5,-0.5
305.0,신목로7길,177,4,양방향,18.2,17.5,16.3,17.6,18.1,-0.5
306.0,신반포로,"3,475",6~10,양방향,24.1,20.6,16.0,20.4,20.7,-0.3
